RCL - Rows Computed Locally 
OCS - Owner Cells Strategy 

   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        RCL         48      12288         16 1.167029e-03 6.380183e-03 2.040087e-03 1.387615e-02 8.381872e-04
        RCL        192      49152         16 1.484470e-03 7.910625e-03 2.278163e-03 2.728989e-02 8.705636e-04
        RCL        432     110592         16 1.897797e-03 1.050368e-02 2.926695e-03 4.677801e-02 8.666113e-04
        RCL        768     196608         16 2.456217e-03 1.355930e-02 3.445373e-03 7.500274e-02 8.640658e-04
        RCL       1200     307200         16 3.345364e-03 1.878522e-02 3.873229e-03 1.319877e-01 8.642953e-04
        RCL       1728     442368         16 4.664500e-03 2.364266e-02 4.490584e-03 1.939548e-01 8.650936e-04
        RCL       2352     602112         16 5.491922e-03 2.792603e-02 4.934655e-03 2.640816e-01 8.691727e-04
        RCL       3072     786432         16 7.023221e-03 3.401934e-02 5.734850e-03 3.260174e-01 8.635408e-04
        RCL       3888     995328         16 8.696534e-03 3.963170e-02 6.221776e-03 4.003558e-01 8.649293e-04
        RCL       4800    1228800         16 1.017136e-02 4.849574e-02 6.240112e-03 5.400584e-01 8.716751e-04
        RCL       5808    1486848         16 1.210355e-02 5.588209e-02 7.270329e-03 6.440856e-01 8.665178e-04
        RCL       6912    1769472         16 4.596318e-02 2.455903e-01 6.680632e-02 2.393530e+00 8.765629e-04
        RCL       8112    2076672         16 5.618646e-02 2.828049e-01 7.716366e-02 2.803752e+00 8.795812e-04
        RCL       9408    2408448         16 4.864657e-02 2.367247e-01 6.381799e-02 2.621025e+00 8.814031e-04
        RCL      10800    2764800         16 6.031119e-02 2.920133e-01 7.631928e-02 3.255715e+00 8.743911e-04
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        OCS         48      12288         16 1.173592e-03 6.419970e-03 2.510943e-03 1.371295e-02 8.392127e-04
        OCS        192      49152         16 1.457732e-03 8.203280e-03 4.022013e-03 2.804706e-02 8.626038e-04
        OCS        432     110592         16 1.975443e-03 1.058872e-02 5.777649e-03 4.718934e-02 8.646696e-04
        OCS        768     196608         16 2.674527e-03 1.332457e-02 8.341945e-03 7.527189e-02 8.683307e-04
        OCS       1200     307200         16 3.617343e-03 1.930728e-02 1.201435e-02 1.317622e-01 8.710983e-04
        OCS       1728     442368         16 4.447029e-03 2.431965e-02 1.624023e-02 1.952693e-01 8.708097e-04
        OCS       2352     602112         16 5.593708e-03 2.883439e-02 1.912489e-02 2.637077e-01 8.696660e-04
        OCS       3072     786432         16 7.197320e-03 3.405131e-02 2.310777e-02 3.270477e-01 8.695002e-04
        OCS       3888     995328         16 8.526462e-03 3.958931e-02 2.631116e-02 3.989002e-01 8.704279e-04
        OCS       4800    1228800         16 9.947542e-03 4.782860e-02 3.205887e-02 5.321908e-01 8.721599e-04
        OCS       5808    1486848         16 1.211120e-02 5.662664e-02 3.722009e-02 6.316955e-01 8.693182e-04
        OCS       6912    1769472         16 4.733909e-02 2.411681e-01 2.241339e-01 2.342394e+00 8.768962e-04
        OCS       8112    2076672         16 5.793106e-02 2.852133e-01 2.646169e-01 2.833946e+00 8.798502e-04
        OCS       9408    2408448         16 4.835852e-02 2.373442e-01 2.175990e-01 2.626768e+00 8.760752e-04
        OCS      10800    2764800         16 5.997793e-02 2.852261e-01 2.545440e-01 3.212346e+00 8.798830e-04
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        RCL         48      49152         32 3.385000e-03 2.637275e-02 5.414787e-03 2.115189e-02 1.651803e-03
        RCL        192     196608         32 3.823872e-03 2.968531e-02 5.678046e-03 3.240199e-02 1.667552e-03
        RCL        432     442368         32 4.567570e-03 3.610480e-02 5.975833e-03 5.704908e-02 1.710528e-03
        RCL        768     786432         32 5.109560e-03 3.893902e-02 6.779754e-03 7.865469e-02 1.708738e-03
        RCL       1200    1228800         32 6.607480e-03 4.670714e-02 7.515346e-03 1.419449e-01 1.711778e-03
        RCL       1728    1769472         32 8.146004e-03 5.604301e-02 8.261472e-03 1.930019e-01 1.709760e-03
        RCL       2352    2408448         32 9.569497e-03 6.375981e-02 8.855703e-03 2.526140e-01 1.709685e-03
        RCL       3072    3145728         32 1.169334e-02 7.390658e-02 9.012742e-03 3.191314e-01 1.711880e-03
        RCL       3888    3981312         32 1.378246e-02 8.082838e-02 9.716967e-03 3.617401e-01 1.713413e-03
        RCL       4800    4915200         32 1.558913e-02 8.928592e-02 1.039443e-02 4.621536e-01 1.711816e-03
        RCL       5808    5947392         32 1.937698e-02 1.041224e-01 1.157509e-02 5.677028e-01 1.701990e-03
        RCL       6912    7077888         32 5.552748e-02 2.851455e-01 7.086900e-02 2.352835e+00 1.718623e-03
        RCL       8112    8306688         32 6.711688e-02 3.302311e-01 7.791495e-02 3.026572e+00 1.715153e-03
        RCL       9408    9633792         32 7.453925e-02 3.708946e-01 9.221598e-02 3.621124e+00 1.726496e-03
        RCL      10800   11059200         32 6.964972e-02 3.491302e-01 7.866033e-02 3.360811e+00 1.728359e-03
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        OCS         48      49152         32 3.363717e-03 1.916240e-02 4.708350e-03 2.132253e-02 1.655851e-03
        OCS        192     196608         32 3.767301e-03 2.179177e-02 6.227232e-03 3.208218e-02 1.661693e-03
        OCS        432     442368         32 4.669907e-03 2.375581e-02 8.691861e-03 5.853639e-02 1.724587e-03
        OCS        768     786432         32 5.136246e-03 3.700053e-02 9.753671e-03 7.960690e-02 1.715111e-03
        OCS       1200    1228800         32 6.694930e-03 4.321565e-02 1.603081e-02 1.392251e-01 1.710368e-03
        OCS       1728    1769472         32 8.088579e-03 4.865635e-02 1.855797e-02 1.948503e-01 1.709631e-03
        OCS       2352    2408448         32 9.485102e-03 5.952784e-02 2.275058e-02 2.526098e-01 1.707130e-03
        OCS       3072    3145728         32 1.173022e-02 7.137848e-02 2.665440e-02 3.183838e-01 1.712727e-03
        OCS       3888    3981312         32 1.381430e-02 7.443212e-02 3.017563e-02 3.602837e-01 1.707975e-03
        OCS       4800    4915200         32 1.600224e-02 8.753717e-02 3.575384e-02 4.531999e-01 1.709674e-03
        OCS       5808    5947392         32 1.845822e-02 9.790245e-02 4.237211e-02 5.638534e-01 1.711706e-03
        OCS       6912    7077888         32 5.471094e-02 2.899225e-01 2.340390e-01 2.354583e+00 1.716645e-03
        OCS       8112    8306688         32 6.259640e-02 3.209175e-01 2.715036e-01 3.037719e+00 1.720827e-03
        OCS       9408    9633792         32 7.909677e-02 3.875559e-01 3.055818e-01 3.571108e+00 1.727780e-03
        OCS      10800   11059200         32 6.879412e-02 3.417851e-01 2.644417e-01 3.368418e+00 1.722238e-03
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        RCL         48     196608         64 1.198633e-02 8.075886e-02 1.838988e-02 5.141786e-02 4.969580e-03
        RCL        192     786432         64 1.229526e-02 8.501367e-02 1.900903e-02 7.257905e-02 4.904856e-03
        RCL        432    1769472         64 1.416428e-02 9.265027e-02 1.992251e-02 1.135083e-01 4.945562e-03
        RCL        768    3145728         64 1.470389e-02 1.070325e-01 2.157659e-02 1.395981e-01 4.998683e-03
        RCL       1200    4915200         64 1.859248e-02 1.162374e-01 2.309388e-02 2.116990e-01 4.984480e-03
        RCL       1728    7077888         64 2.206237e-02 1.244213e-01 2.792433e-02 2.610506e-01 4.968926e-03
        RCL       2352    9633792         64 2.434684e-02 1.390418e-01 2.393585e-02 3.618467e-01 4.992336e-03
        RCL       3072   12582912         64 2.397318e-02 1.509784e-01 2.458457e-02 4.366265e-01 4.995922e-03
        RCL       3888   15925248         64 3.066563e-02 1.600888e-01 2.427546e-02 5.151386e-01 4.991241e-03
        RCL       4800   19660800         64 3.459418e-02 1.784799e-01 2.521749e-02 6.756460e-01 4.999462e-03
        RCL       5808   23789568         64 3.648897e-02 1.954766e-01 2.565898e-02 8.048535e-01 4.995527e-03
        RCL       6912   28311552         64 6.314054e-02 3.236703e-01 6.666070e-02 2.191237e+00 4.969488e-03
        RCL       8112   33226752         64 7.231634e-02 3.779182e-01 7.364358e-02 2.602583e+00 4.984320e-03
        RCL       9408   38535168         64 8.123070e-02 4.238424e-01 8.438994e-02 3.053260e+00 4.989193e-03
        RCL      10800   44236800         64 8.817524e-02 4.718405e-01 9.239379e-02 3.474689e+00 4.981977e-03
