   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48      12288         16 7.898484e-04 8.717100e-03 2.823835e-03 1.361605e-02 9.432347e-04
  CARTESIAN        192      49152         16 1.024584e-03 9.653618e-03 3.092605e-03 2.145384e-02 9.245457e-04
  CARTESIAN        432     110592         16 1.412856e-03 1.063641e-02 3.157769e-03 3.245449e-02 9.281721e-04
  CARTESIAN        768     196608         16 1.909128e-03 1.283268e-02 3.359105e-03 4.845572e-02 9.476928e-04
  CARTESIAN       1200     307200         16 2.573846e-03 1.464910e-02 3.673054e-03 9.407914e-02 1.002607e-03
  CARTESIAN       1728     442368         16 3.259005e-03 1.641789e-02 3.914755e-03 1.531985e-01 1.013440e-03
  CARTESIAN       2352     602112         16 4.198148e-03 2.109225e-02 4.294995e-03 2.253641e-01 1.022761e-03
  CARTESIAN       3072     786432         16 5.541197e-03 2.332739e-02 4.508947e-03 2.817419e-01 1.011170e-03
  CARTESIAN       3888     995328         16 7.315591e-03 2.931429e-02 4.781177e-03 4.151871e-01 1.015598e-03
  CARTESIAN       4800    1228800         16 9.461682e-03 3.749720e-02 6.173742e-03 6.088373e-01 1.087692e-03
  CARTESIAN       5808    1486848         16 1.143111e-02 4.559101e-02 7.621298e-03 7.889843e-01 1.153717e-03
  CARTESIAN       6912    1769472         16 1.482442e-02 5.147727e-02 7.473067e-03 8.903617e-01 1.074629e-03
  CARTESIAN       8112    2076672         16 1.736921e-02 5.580162e-02 9.660055e-03 1.158355e+00 1.235180e-03
  CARTESIAN       9408    2408448         16 2.139429e-02 6.957810e-02 1.000033e-02 1.416715e+00 1.149626e-03
  CARTESIAN      10800    2764800         16 2.625820e-02 8.218479e-02 1.420155e-02 1.747744e+00 1.144342e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48      49152         32 1.920034e-03 2.136161e-02 4.439637e-03 2.106218e-02 1.156326e-03
  CARTESIAN        192     196608         32 2.343213e-03 2.545117e-02 4.797741e-03 2.754731e-02 1.154146e-03
  CARTESIAN        432     442368         32 2.798450e-03 2.630236e-02 4.964903e-03 5.078763e-02 1.184648e-03
  CARTESIAN        768     786432         32 3.556686e-03 2.769751e-02 8.407261e-03 6.190456e-02 1.203220e-03
  CARTESIAN       1200    1228800         32 4.312522e-03 3.410471e-02 7.402077e-03 1.007057e-01 1.183245e-03
  CARTESIAN       1728    1769472         32 4.993811e-03 3.711720e-02 9.239647e-03 1.339033e-01 1.225766e-03
  CARTESIAN       2352    2408448         32 6.446696e-03 4.070715e-02 9.080901e-03 1.877333e-01 1.214271e-03
  CARTESIAN       3072    3145728         32 7.436688e-03 4.681581e-02 8.710580e-03 2.275477e-01 1.229541e-03
  CARTESIAN       3888    3981312         32 8.488477e-03 4.894122e-02 9.648038e-03 3.132747e-01 1.235647e-03
  CARTESIAN       4800    4915200         32 1.105851e-02 6.896451e-02 1.073075e-02 4.610780e-01 1.243996e-03
  CARTESIAN       5808    5947392         32 1.342635e-02 7.399441e-02 1.166572e-02 5.718933e-01 1.291779e-03
  CARTESIAN       6912    7077888         32 1.775381e-02 8.835834e-02 1.324569e-02 7.089555e-01 1.314309e-03
  CARTESIAN       8112    8306688         32 2.043573e-02 1.014030e-01 1.264122e-02 1.008584e+00 1.315880e-03
  CARTESIAN       9408    9633792         32 2.356176e-02 1.046424e-01 1.309778e-02 1.354665e+00 1.358252e-03
  CARTESIAN      10800   11059200         32 2.887517e-02 1.135900e-01 1.609260e-02 1.576889e+00 1.328048e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48     196608         64 7.411464e-03 8.324384e-02 1.063531e-02 5.028218e-02 2.015127e-03
  CARTESIAN        192     786432         64 7.740457e-03 1.243518e-01 1.152276e-02 6.598652e-02 2.028742e-03
  CARTESIAN        432    1769472         64 8.642507e-03 1.182071e-01 1.391144e-02 8.724357e-02 2.046735e-03
  CARTESIAN        768    3145728         64 9.818773e-03 1.145640e-01 1.428261e-02 1.071454e-01 2.043747e-03
  CARTESIAN       1200    4915200         64 1.034850e-02 1.134242e-01 1.520119e-02 1.494003e-01 2.049610e-03
  CARTESIAN       1728    7077888         64 1.199879e-02 1.176930e-01 1.587363e-02 1.833894e-01 2.078864e-03
  CARTESIAN       2352    9633792         64 1.398797e-02 1.240175e-01 1.777376e-02 2.659408e-01 2.092507e-03
  CARTESIAN       3072   12582912         64 1.456699e-02 1.299891e-01 1.918598e-02 3.353664e-01 2.089179e-03
  CARTESIAN       3888   15925248         64 1.703836e-02 1.436348e-01 1.931751e-02 4.370674e-01 2.086856e-03
  CARTESIAN       4800   19660800         64 2.038398e-02 1.548939e-01 1.879015e-02 6.499676e-01 2.133647e-03
  CARTESIAN       5808   23789568         64 2.283366e-02 1.534813e-01 2.048285e-02 7.127109e-01 2.013123e-03
  CARTESIAN       6912   28311552         64 2.722597e-02 1.718362e-01 2.227001e-02 9.766665e-01 2.142498e-03
  CARTESIAN       8112   33226752         64 2.986432e-02 1.813626e-01 2.118455e-02 1.217872e+00 2.183343e-03
  CARTESIAN       9408   38535168         64 3.782231e-02 2.184956e-01 2.307755e-02 1.491071e+00 2.176265e-03
  CARTESIAN      10800   44236800         64 4.072260e-02 2.261962e-01 2.443420e-02 1.846054e+00 2.157588e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48     786432        128 2.867320e-02 5.883599e-01 4.035762e-02 2.319859e-01 5.277408e-03
  CARTESIAN        192    3145728        128 3.465030e-02 6.081015e-01 4.236281e-02 2.622352e-01 5.272926e-03
  CARTESIAN        432    7077888        128 4.966054e-02 5.727121e-01 4.595048e-02 2.903214e-01 5.309224e-03
  CARTESIAN        768   12582912        128 5.223612e-02 9.473736e-01 1.369249e-01 3.386505e-01 5.378094e-03
  CARTESIAN       1200   19660800        128 5.417902e-02 9.948745e-01 1.374116e-01 4.087624e-01 5.371144e-03
  CARTESIAN       1728   28311552        128 5.614679e-02 1.047517e+00 1.398298e-01 4.279505e-01 5.345095e-03
  CARTESIAN       2352   38535168        128 5.553969e-02 1.097598e+00 1.528190e-01 4.987033e-01 5.299190e-03
  CARTESIAN       3072   50331648        128 4.577447e-02 1.132737e+00 1.443353e-01 5.848013e-01 5.315622e-03
  CARTESIAN       3888   63700992        128 4.869332e-02 8.010986e-01 6.478589e-02 6.659209e-01 5.329701e-03
  CARTESIAN       4800   78643200        128 5.155949e-02 9.674034e-01 1.058616e-01 8.093336e-01 5.354169e-03
  CARTESIAN       5808   95158272        128 5.902549e-02 9.998569e-01 1.405049e-01 9.868381e-01 5.327741e-03
  CARTESIAN       6912  113246208        128 7.574149e-02 9.249735e-01 9.154344e-02 1.140233e+00 5.340517e-03
  CARTESIAN       8112  132907008        128 6.165236e-02 1.035183e+00 1.443411e-01 1.396916e+00 5.396643e-03
  CARTESIAN       9408  154140672        128 8.138369e-02 9.730493e-01 5.897670e-02 1.697773e+00 5.411214e-03
  CARTESIAN      10800  176947200        128 7.282997e-02 8.792473e-01 7.146999e-02 1.907153e+00 5.398011e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48    3145728        256 1.152923e-01 1.859666e+00 2.692544e-01 1.282389e+00 1.820907e-02
  CARTESIAN        192   12582912        256 1.211135e-01 1.951443e+00 2.603868e-01 1.384099e+00 1.861844e-02
  CARTESIAN        432   28311552        256 1.386747e-01 2.010174e+00 2.563460e-01 1.567639e+00 1.831380e-02
  CARTESIAN        768   50331648        256 1.443264e-01 2.622314e+00 2.981087e-01 1.638822e+00 1.828335e-02
  CARTESIAN       1200   78643200        256 1.524773e-01 2.637392e+00 3.029079e-01 1.756871e+00 1.831887e-02
  CARTESIAN       1728  113246208        256 1.566627e-01 2.777958e+00 2.991790e-01 1.837318e+00 1.837250e-02
  CARTESIAN       2352  154140672        256 1.530778e-01 2.917701e+00 2.925319e-01 2.041259e+00 1.828438e-02
  CARTESIAN       3072  201326592        256 1.734858e-01 3.034311e+00 2.770801e-01 2.148071e+00 1.818671e-02
  CARTESIAN       3888  254803968        256 2.120131e-01 2.993322e+00 3.023484e-01 2.306285e+00 1.836630e-02
  CARTESIAN       4800  314572800        256 1.656372e-01 2.974445e+00 3.008711e-01 2.529542e+00 1.829123e-02
  CARTESIAN       5808  380633088        256 1.729885e-01 3.099438e+00 3.116254e-01 2.748121e+00 1.833183e-02
  CARTESIAN       6912  452984832        256 1.899225e-01 3.148368e+00 3.428747e-01 4.083559e+00 1.872791e-02
  CARTESIAN       8112  531628032        256 1.809840e-01 3.051473e+00 3.001926e-01 3.180275e+00 1.827551e-02
  CARTESIAN       9408  616562688        256 1.814102e-01 3.187939e+00 3.026204e-01 3.682861e+00 1.833980e-02
  CARTESIAN      10800  707788800        256 2.083653e-01 3.055146e+00 3.226645e-01 5.076920e+00 1.882405e-02
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48   12582912        512 6.271226e-01 7.647283e+00 7.905918e-01 6.816326e+00 7.169394e-02
  CARTESIAN        192   50331648        512 6.921394e-01 7.891706e+00 7.792650e-01 6.695776e+00 7.167067e-02
  CARTESIAN        432  113246208        512 7.236679e-01 8.187642e+00 7.890760e-01 7.014137e+00 7.176259e-02
  CARTESIAN        768  201326592        512 7.337987e-01 8.348817e+00 8.403048e-01 7.360459e+00 7.133700e-02
  CARTESIAN       1200  314572800        512 7.635634e-01 8.639422e+00 8.577279e-01 7.665935e+00 7.124583e-02
  CARTESIAN       1728  452984832        512 7.888169e-01 9.324780e+00 8.992609e-01 8.262306e+00 7.158887e-02
  CARTESIAN       2352  616562688        512 7.913562e-01 9.051576e+00 8.993979e-01 8.690125e+00 7.145307e-02
  CARTESIAN       3072  805306368        512 7.749226e-01 9.992127e+00 8.662138e-01 8.368196e+00 7.144621e-02
  CARTESIAN       3888 1019215872        512 8.172190e-01 9.834842e+00 9.431950e-01 8.970859e+00 7.280110e-02
  CARTESIAN       4800 1258291200        512 8.157265e-01 9.575214e+00 9.483723e-01 9.299099e+00 7.177569e-02
  CARTESIAN       5808 1522532352        512 8.415398e-01 9.772897e+00 9.844119e-01 1.025150e+01 7.167191e-02
  CARTESIAN       6912 1811939328        512 8.644104e-01 1.063569e+01 9.296995e-01 9.684384e+00 7.191200e-02
  CARTESIAN       8112 2126512128        512 8.693603e-01 9.766889e+00 9.294596e-01 1.024259e+01 7.149928e-02
  CARTESIAN       9408 2466250752        512 8.653883e-01 1.069418e+01 9.700325e-01 1.146862e+01 7.235178e-02
  CARTESIAN      10800 2831155200        512 8.587030e-01 1.012175e+01 9.727676e-01 1.215968e+01 7.175786e-02
