   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48      12288          4 1.115900e-02 7.062489e-03 3.743312e-03 1.368630e-02 1.227346e-03
      P4EST        192      49152          4 1.772406e-02 8.093310e-03 3.857006e-03 2.224811e-02 1.245667e-03
      P4EST        432     110592          4 2.657204e-02 1.042533e-02 4.283882e-03 3.430200e-02 1.278548e-03
      P4EST        768     196608          4 4.146449e-02 1.159388e-02 4.821099e-03 5.221576e-02 1.283324e-03
      P4EST       1200     307200          4 5.146012e-02 1.672858e-02 4.941758e-03 9.815236e-02 1.334754e-03
      P4EST       1728     442368          4 7.020033e-02 1.555901e-02 5.432224e-03 1.714996e-01 1.316170e-03
      P4EST       2352     602112          4 7.736556e-02 3.812038e-02 5.313585e-03 2.636510e-01 1.349320e-03
      P4EST       3072     786432          4 1.075942e-01 4.322772e-02 6.143144e-03 3.601605e-01 1.385522e-03
      P4EST       3888     995328          4 1.207497e-01 4.953121e-02 8.357058e-03 5.110724e-01 1.450601e-03
      P4EST       4800    1228800          4 1.547798e-01 5.400918e-02 7.550793e-03 7.896006e-01 1.463115e-03
      P4EST       5808    1486848          4 1.633913e-01 7.251915e-02 9.049018e-03 9.919200e-01 1.537192e-03
      P4EST       6912    1769472          4 2.194783e-01 8.485609e-02 1.284016e-02 1.202392e+00 1.559287e-03
      P4EST       8112    2076672          4 2.300798e-01 8.035753e-02 1.139316e-02 1.499293e+00 1.590573e-03
      P4EST       9408    2408448          4 3.007416e-01 1.126888e-01 1.329530e-02 1.784641e+00 1.501035e-03
      P4EST      10800    2764800          4 2.911587e-01 1.145613e-01 3.204046e-02 2.219053e+00 1.496296e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48      49152          5 3.689120e-02 2.544924e-02 6.797673e-03 2.268091e-02 1.787080e-03
      P4EST        192     196608          5 4.434529e-02 2.740463e-02 7.106006e-03 3.112897e-02 1.805315e-03
      P4EST        432     442368          5 5.575597e-02 2.622859e-02 7.453933e-03 4.645671e-02 1.779489e-03
      P4EST        768     786432          5 7.598642e-02 3.198292e-02 9.401042e-03 6.730862e-02 1.816503e-03
      P4EST       1200    1228800          5 1.059571e-01 3.318372e-02 8.174196e-03 1.015556e-01 1.817770e-03
      P4EST       1728    1769472          5 1.179913e-01 4.009208e-02 1.196236e-02 1.232495e-01 1.814723e-03
      P4EST       2352    2408448          5 1.437139e-01 8.376199e-02 8.950771e-03 1.864335e-01 1.840691e-03
      P4EST       3072    3145728          5 1.587456e-01 9.969434e-02 1.013942e-02 2.808227e-01 1.872189e-03
      P4EST       3888    3981312          5 1.726524e-01 1.035272e-01 9.215287e-03 4.309473e-01 1.927615e-03
      P4EST       4800    4915200          5 2.065287e-01 1.025383e-01 1.031327e-02 5.985406e-01 2.009464e-03
      P4EST       5808    5947392          5 2.203129e-01 1.126243e-01 1.338861e-02 8.408425e-01 1.981849e-03
      P4EST       6912    7077888          5 2.855485e-01 1.233908e-01 1.399776e-02 1.017638e+00 2.039594e-03
      P4EST       8112    8306688          5 3.182985e-01 1.555907e-01 1.402299e-02 1.247946e+00 2.020159e-03
