$./generar_overall_report.sh 2> /dev/null
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48      48000         10 1.052012e-02 8.821509e-02 9.417403e-03 5.974601e-02 1.626199e-03
  CARTESIAN        384     384000         10 1.180246e-02 1.080714e-01 1.124854e-02 8.654806e-02 1.728603e-03
  CARTESIAN       1296    1296000         10 1.417959e-02 1.599320e-01 1.618342e-02 1.807929e-01 1.856477e-03
  CARTESIAN       3072    3072000         10 1.947275e-02 1.679173e-01 1.938528e-02 4.041987e-01 1.949482e-03
  CARTESIAN       6000    6000000         10 3.403105e-02 2.075072e-01 2.176960e-02 7.886635e-01 2.085361e-03
  CARTESIAN      10368   10368000         10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
  CARTESIAN      16464   16464000         10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48     384000         20 5.574866e-02 4.375350e-01 5.450048e-02 3.173232e-01 5.437705e-03
  CARTESIAN        384    3072000         20 7.114670e-02 6.753502e-01 6.213676e-02 3.780281e-01 5.363700e-03
  CARTESIAN       1296   10368000         20 1.110519e-01 1.100170e+00 7.177726e-02 5.160557e-01 5.578467e-03
  CARTESIAN       3072   24576000         20 9.003033e-02 1.109619e+00 7.415316e-02 7.570171e-01 5.568290e-03
  CARTESIAN       6000   48000000         20 9.696254e-02 9.235631e-01 8.599506e-02 1.319724e+00 5.558935e-03
  CARTESIAN      10368   82944000         20 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
  CARTESIAN      16464  131712000         20 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48    1296000         30 1.778452e-01 1.194598e+00 1.768648e-01 1.165062e+00 1.608964e-02
  CARTESIAN        384   10368000         30 1.907584e-01 1.358732e+00 1.825845e-01 1.345317e+00 1.587636e-02
  CARTESIAN       1296   34992000         30 2.019389e-01 1.636804e+00 2.074540e-01 1.579767e+00 1.613772e-02
  CARTESIAN       3072   82944000         30 2.284643e-01 1.866196e+00 2.080372e-01 1.998522e+00 1.612884e-02
  CARTESIAN       6000  162000000         30 2.869924e-01 1.888972e+00 2.472582e-01 2.629262e+00 1.599682e-02
  CARTESIAN      10368  279936000         30 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
  CARTESIAN      16464  444528000         30 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
  CARTESIAN         48    3072000         40 5.492671e-01 3.082082e+00 7.414137e-01 2.727437e+00 3.509396e-02
  CARTESIAN        384   24576000         40 5.841002e-01 3.507388e+00 7.287649e-01 3.060877e+00 3.476776e-02
  CARTESIAN       1296   82944000         40 7.331921e-01 4.030005e+00 8.826699e-01 3.568079e+00 3.475568e-02
  CARTESIAN       3072  196608000         40 8.716914e-01 4.576087e+00 9.015211e-01 4.240874e+00 3.494525e-02
  CARTESIAN       6000  384000000         40 7.570671e-01 4.882945e+00 9.065788e-01 4.950201e+00 3.496508e-02
  CARTESIAN      10368  663552000         40 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
  CARTESIAN      16464 1053696000         40 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
