   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48       3072          2 2.022125e-02 1.827819e-02 6.230693e-03 1.323158e-02 1.415973e-03
      P4EST        384      24576          2 4.377997e-02 2.397465e-02 6.840702e-03 3.450859e-02 1.488383e-03
      P4EST       1296      82944          2 1.113405e-01 2.786364e-02 8.061098e-03 8.460782e-02 1.615331e-03
      P4EST       3072     196608          2 1.797059e-01 4.999805e-02 1.038951e-02 2.740353e-01 1.651007e-03
      P4EST       6000     384000          2 4.658926e-01 9.529028e-02 1.789396e-02 7.045283e-01 1.937184e-03
      P4EST      10368     663552          2 6.591584e-01 1.394227e-01 2.600715e-02 1.408951e+00 1.767936e-03
      P4EST      16464    1053696          2 1.365427e+00 1.969371e-01 4.449991e-02 3.052822e+00 1.835037e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48      24576          3 8.402608e-02 4.637477e-02 1.743758e-02 4.097516e-02 2.076253e-03
      P4EST        384     196608          3 1.006472e-01 5.327605e-02 1.794099e-02 6.206165e-02 2.042883e-03
      P4EST       1296     663552          3 1.922612e-01 6.964280e-02 1.893844e-02 1.307499e-01 2.136127e-03
      P4EST       3072    1572864          3 2.625742e-01 1.107898e-01 2.463225e-02 2.838040e-01 2.235712e-03
      P4EST       6000    3072000          3 4.938409e-01 1.744075e-01 4.062411e-02 7.847206e-01 2.384482e-03
      P4EST      10368    5308416          3 1.051616e+00 2.289378e-01 4.293536e-02 1.554686e+00 2.219218e-03
      P4EST      16464    8429568          3 1.751392e+00 2.840254e-01 4.597610e-02 3.007782e+00 2.296718e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48     196608          4 4.503856e-01 2.190906e-01 8.641820e-02 1.798809e-01 6.349309e-03
      P4EST        384    1572864          4 5.246422e-01 2.333564e-01 9.237965e-02 2.100191e-01 6.467759e-03
      P4EST       1296    5308416          4 8.559616e-01 2.914148e-01 9.750860e-02 2.891820e-01 6.524293e-03
      P4EST       3072   12582912          4 9.442482e-01 2.772552e-01 9.748261e-02 4.125856e-01 6.518771e-03
      P4EST       6000   24576000          4 1.584580e+00 4.024836e-01 1.081650e-01 7.834437e-01 6.507634e-03
      P4EST      10368   42467328          4 1.881424e+00 4.400700e-01 1.647980e-01 1.952436e+00 6.625929e-03
      P4EST      16464   67436544          4 2.584553e+00 5.488150e-01 1.652776e-01 3.395024e+00 6.685387e-03
   STRATEGY     NPARTS     NCELLS         LS     DisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
      P4EST         48    1572864          5 3.808493e+00 1.745889e+00 5.933095e-01 1.465372e+00 4.100306e-02
      P4EST        384   12582912          5 4.282504e+00 1.899387e+00 6.197714e-01 1.581777e+00 4.132111e-02
      P4EST       1296   42467328          5 5.725059e+00 2.029438e+00 7.923685e-01 1.851892e+00 4.142969e-02
      P4EST       3072  100663296          5 5.512053e+00 2.270768e+00 7.441607e-01 2.156602e+00 4.139973e-02
      P4EST       6000  196608000          5 5.972673e+00 2.296704e+00 7.042874e-01 2.672799e+00 4.157235e-02
      P4EST      10368  339738624          5 6.651271e+00 1.785959e+00 8.129732e-01 3.718635e+00 4.150600e-02
      P4EST      16464  539492352          5 7.308902e+00 2.586092e+00 7.749098e-01 5.854028e+00 4.150098e-02
