Solve,nparts,ngdofs,FESpaces,solver,AffineFEOperator,d,np,mesh,nc,Model,ngcells,ls,ir,enorm,L2Norm,path
0.014543908,48,2475,0.005788227,gamg,0.002832385,3,48,cartesian,3072,0.002335738,3072,4.0,1,8.720585735073566e-14,0.0157642,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_3072_np_48_nr_5_solver_gamg_ir1.bson
0.033330148,384,22103,0.007056228,gamg,0.004085659,3,384,cartesian,24576,0.003034147,24576,4.0,1,4.47504912117532e-13,0.016464262,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_24576_np_384_nr_5_solver_gamg_ir1.bson
0.069194469,1296,77315,0.006615374,gamg,0.004462318,3,1296,cartesian,82944,0.002698856,82944,4.0,1,1.6182622483056158e-13,0.016573289,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_82944_np_1296_nr_5_solver_gamg_ir1.bson
0.241812093,3072,186543,0.00854233,gamg,0.006152808,3,3072,cartesian,196608,0.003640056,196608,4.0,1,1.0146283462483697e-12,0.019169917,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_196608_np_3072_nr_5_solver_gamg_ir1.bson
0.609702568,6000,368219,0.008701577,gamg,0.00416962,3,6000,cartesian,384000,0.003610217,384000,4.0,1,2.858507600220048e-13,0.018611375,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_384000_np_6000_nr_5_solver_gamg_ir1.bson
1.479673775,10368,640775,0.009577535,gamg,0.006441029,3,10368,cartesian,663552,0.005223379,663552,4.0,1,1.8865606422150263e-13,0.021921396,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_663552_np_10368_nr_5_solver_gamg_ir1.bson
3.103815386,16464,1022643,0.012613953,gamg,0.006899107,3,16464,cartesian,1053696,0.00393534,1053696,4.0,1,2.28791032626573e-13,0.021657197,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_1053696_np_16464_nr_5_solver_gamg_ir1.bson
0.034853112,48,22103,0.006611107,gamg,0.005963374,3,48,cartesian,24576,0.004687653,24576,8.0,1,7.111151635894931e-14,0.001202486,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_24576_np_48_nr_5_solver_gamg_ir1.bson
0.06335858,384,186543,0.007124618,gamg,0.007258076,3,384,cartesian,196608,0.005169443,196608,8.0,1,2.596047106250484e-13,0.017017639,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_196608_np_384_nr_5_solver_gamg_ir1.bson
0.128899296,1296,640775,0.008895661,gamg,0.00753732,3,1296,cartesian,663552,0.005604549,663552,8.0,1,2.758228981702207e-13,0.01708139,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_663552_np_1296_nr_5_solver_gamg_ir1.bson
0.306008079,3072,1532255,0.01076996,gamg,0.008184703,3,3072,cartesian,1572864,0.00603647,1572864,8.0,1,6.0314312541916e-14,0.018852497,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_1572864_np_3072_nr_5_solver_gamg_ir1.bson
0.723503724,6000,3008439,0.012156447,gamg,0.007961132,3,6000,cartesian,3072000,0.007119828,3072000,8.0,1,4.01831736927571e-13,0.018576909,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_3072000_np_6000_nr_5_solver_gamg_ir1.bson
1.645461813,10368,5216783,0.009754102,gamg,0.009677848,3,10368,cartesian,5308416,0.006435278,5308416,8.0,1,6.835013073996019e-13,0.020663982,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_5308416_np_10368_nr_5_solver_gamg_ir1.bson
3.384926001,16464,8304743,0.012235515,gamg,0.0109262,3,16464,cartesian,8429568,0.007888753,8429568,8.0,1,1.7088299693863799e-12,0.025324591,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_8429568_np_16464_nr_5_solver_gamg_ir1.bson
0.175277587,48,186543,0.012904618,gamg,0.037457072,3,48,cartesian,196608,0.018793552,196608,16.0,1,5.138224794845955e-13,0.003732604,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_196608_np_48_nr_5_solver_gamg_ir1.bson
0.20687926,384,1532255,0.015827844,gamg,0.040826176,3,384,cartesian,1572864,0.022012474,1572864,16.0,1,7.003018559613895e-14,0.018514104,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_1572864_np_384_nr_5_solver_gamg_ir1.bson
0.287598811,1296,5216783,0.016021285,gamg,0.042096622,3,1296,cartesian,5308416,0.020648262,5308416,16.0,1,7.867384886890166e-13,0.02042255,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_5308416_np_1296_nr_5_solver_gamg_ir1.bson
0.430493922,3072,12419775,0.015982044,gamg,0.041317061,3,3072,cartesian,12582912,0.021515078,12582912,16.0,1,3.0227876322394863e-13,0.020780354,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_12582912_np_3072_nr_5_solver_gamg_ir1.bson
0.773815494,6000,24320879,0.017142923,gamg,0.042905806,3,6000,cartesian,24576000,0.021500243,24576000,16.0,1,1.3157463269648702e-13,0.021235211,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_24576000_np_6000_nr_5_solver_gamg_ir1.bson
1.646470826,10368,42099743,0.018809776,gamg,0.044885285,3,10368,cartesian,42467328,0.022269131,42467328,16.0,1,3.342060892145304e-13,0.02399659,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_42467328_np_10368_nr_5_solver_gamg_ir1.bson
3.180094689,16464,66936015,0.019474649,gamg,0.045403819,3,16464,cartesian,67436544,0.022019601,67436544,16.0,1,2.6199582626066864e-12,0.022752033,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_67436544_np_16464_nr_5_solver_gamg_ir1.bson
1.416560923,48,1532255,0.062750469,gamg,0.307223819,3,48,cartesian,1572864,0.115341594,1572864,32.0,1,5.372114359708283e-13,0.017198447,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_1572864_np_48_nr_5_solver_gamg_ir1.bson
1.646744628,384,12419775,0.072726555,gamg,0.334588683,3,384,cartesian,12582912,0.121531477,12582912,32.0,1,3.330340429581057e-13,0.03310729,/scratch/bt62/am6349/GridapDistributedBenchmark.jl/analysis/data/d_3_mesh_cartesian_nc_12582912_np_384_nr_5_solver_gamg_ir1.bson
